State,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015
Bihar,1719.3,1997.8,2581.1,3058.4,3806.7,4491.6,4425.75
Assam,1447.1,2565.6,2937.8,3742.8,4564,4486.8,3658.69
Goa,3029.8,3624.1,4886.3,4583.9,2600.4,2100.3,2820.02
HimachalPradesh,796.7,795.3,894.1,942.5,1267.6,1622.4,2042.42
Chandigarh,812.1,948.4,1201.2,1373.1,1776.2,1874.8,1922.65
Uttrakhand,731.1,1086.6,1080,1255.7,1591.9,1941.9,1750.63
Jharkhand,1060,1388.6,1691.4,1977.7,2497.9,3482.7,1344.7
Chhatisgarh,1286.7,1608.4,1882.3,1987.1,2281.9,3067.9,1286.86
JammuKashmir,574,671.4,711.6,869.9,1160.7,1459.1,1284.22
Telangana,0,0,0,0,0,0,439.46
Puducherry,158.3,215.8,222.1,260.4,356.8,425,385.89
Sikkim,29.2,50.7,48.2,64.4,199.5,205.4,323.88
Meghalaya,219.4,281.3,367,406.3,474,577.3,292.75
DadarN.Haveli,71.6,79.5,84.7,91.6,110.5,245.6,290.2
Daman&Diu,97.8,92.3,97.2,120,146.7,158.2,188.63
Tripura,58.5,87.2,100.5,142.2,166.3,218.7,138.91
AndamanNicobar,24.9,32.3,36.8,44.2,50.1,52.8,93.37
Manipur,21.2,27.7,44.1,38.4,55.4,79.2,53.31
Mizoram,6.5,9,6.9,9.2,12.6,17.8,39.79
Nagaland,9.9,15.8,19.3,20.7,30.4,35.1,30.36
ArunachalPradesh,28,57.2,70.1,87.6,84,111.8,17.19
Lakshadweep,0.9,0.9,1.8,5.8,6.9,10.3,2.84